;Current Official Name of Satellite;Country of Operator/Owner;Operator/Owner;Users;Purpose;Detailed Purpose;Class of Orbit;Launch Mass (kg.);Dry Mass (kg.);Date of Launch;Expected Lifetime (yrs.);Contractor;Country of Contractor;Launch Vehicle;Comments;Country of Operator/Owner_agg;Country of Contractor_agg;Launcher_country;Purpose_agg
2607;Ursa Maior;Italy;University of Rome;Civil;Earth Science;;LEO;4.5;;2017;;University of Rome - La Sapienza;Italy;PSLV;Study lower earth atmosphere.;EU;EU;India;earth_observation_and_surveillance
2608;UWE-3;Germany;University of Würzburg;Civil;Communications;Optical Imaging;LEO;1.0;;2013;;University of Würzburg;Germany;Dnepr;Amateur radio.;EU;EU;ROW;communication_and_positionning
2609;UWE-4;Germany;University of Würzburg;Civil;Technology Development/Education;;LEO;2.0;;2018;;University of Würzburg;Germany;Soyuz 2.1a;Demonstrate miniaturized electric propulsion system/student education.;EU;EU;Russia;other
2610;RBSP-A;USA;National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory;Government;Earth Observation;;Elliptical;647.6;;2012;;Johns Hopkins University Applied Physics Laboratory;USA;Atlas 5;Study the Earth's radiation belts on various scales of space and time.;USA;USA;USA;earth_observation_and_surveillance
2611;RBSP-B;USA;National Aeronautics and Space Administration (NASA)/Johns Hopkins University Applied Physics Laboratory;Government;Earth Observation;;Elliptical;666.0;;2012;;Johns Hopkins University Applied Physics Laboratory;USA;Atlas 5;Study the Earth's radiation belts on various scales of space and time.;USA;USA;USA;earth_observation_and_surveillance
2612;VDNH-80;Russia;Moscow State University;Civil;Space Science;;LEO;4.0;;2019;;Moscow State University;Russia;Soyuz 2.1b;Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.;Russia;Russia;Russia;space_science
2613;Velox 1;Singapore;Nanyang Technological University;Civil;Technology Development;;LEO;4.0;;2014;;Nanyang Technological University;Singapore;PSLV-CA;Purpose was to give students experience in mounting a satellite building and launch campaign. It carries a high resolution camera for Earth imaging.;ROW;ROW;USA;increase_mission_performance_and_technology
2614;Velox 2;Singapore;Nanyang Technological University;Civil;Technology Development;;LEO;13.0;;2015;;Nanyang Technological University;Singapore;PSLV-C29;Communications Payload, GPS Experimental Payload and Fault Tolerant Payload.;ROW;ROW;USA;increase_mission_performance_and_technology
2615;Velox C1;Singapore;Nanyang Technological University;Civil;Technology Development;Optical Imaging;LEO;123.0;;2015;;Nanyang Technological University;Singapore;PSLV-C29;Microsatellite for research in tropical environmental monitoring using radio occultation techniques.;ROW;ROW;USA;increase_mission_performance_and_technology
2616;Venµs;France/Israel;Centre National d'Etudes Spatiales (CNES)/Israel Space Agency;Government;Earth Observation;Optical Imaging;LEO;264.0;;2017;4.5;Israel Aerospace Industries (IAI);Israel;Vega;Resolution of 5 meters (16 feet), the spectral richness of the camera in 12 bands, and the third is revisit — two days. USA has 24 percent of mission targets.;Int_coop;ROW;EU;earth_observation_and_surveillance
2617;ViaSat-1;USA;ViaSat, Inc.;Commercial;Communications;;GEO;6740.0;;2011;15.0;Space Systems/Loral;USA;Proton M;"Provide much faster Internet service to more than 1 million customers outside the reach of cable or DSL services at similar prices to existing satellite broadband; also using capacity to power in-flight Internet service by JetBlue, as well as defense and other uses.";USA;USA;Russia;communication_and_positionning
2618;ViaSat-2;USA;ViaSat, Inc.;Commercial;Communications;;GEO;6418.0;;2017;14.0;Boeing Satellite Systems;USA;Ariane 5;Powered mostly by xenon ions, so slowly working its way to GEO as of 10/15/2017. Large insurance claim filed in 2018 for damage to antenna.;USA;USA;EU;communication_and_positionning
2619;Vinasat 1;Vietnam;Vietnamese Posts and Telecommunications Group (VNPT);Government;Communications;;GEO;2600.0;;2008;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5 ECA;"Provide voice, video and internet service; Asia, India, Australia, Japan, Hawaii. 12 Ku-band, 8 C-band transponders.";ROW;USA;EU;communication_and_positionning
2620;Vinasat 2;Vietnam;Vietnamese Posts and Telecommunications Group (VNPT);Government;Communications;;GEO;2970.0;;2012;15.0;Lockheed Martin Commercial Space Systems;USA;Ariane 5 ECA;"24 ku-band transponders; provide independence in satellite communications.";ROW;USA;EU;communication_and_positionning
2621;VNREDSat 1A;Vietnam;Space Technology Institute-Vietnam Academy of Science and Technology (STI-VAST);Government;Earth Observation;;LEO;115.0;;2013;5.0;EADS Astrium;France;Vega;Better monitor and study the effects of climate change, predict and take measures to prevent natural disasters, and optimize the management of its natural resources.;ROW;EU;EU;earth_observation_and_surveillance
2622;VRSS-1;Venezuela;Bolivarian Agency for Space Activities;Government;Earth Observation;;LEO;880.0;;2012;5.0;China Academy of Space Technology (CAST);China;Long March 2D;Sensors can resolve objects 2.5 meters across. Will return 350 images per day for urban planning, monitor illegal mining and drug activities, national defense.;ROW;China;China;earth_observation_and_surveillance
2623;VRSS-2;Venezuela;Bolivarian Agency for Space Activities;Government;Earth Observation ;;LEO;1000.0;;2017;5.0;China Academy of Space Technology (CAST);China;Long March 2D;Second earth observing satellite for Venezuela. Cooperative agreement with China.;ROW;China;China;earth_observation_and_surveillance
2624;VZLUSat-1;Czech Republic;Czech Aerospace Research Center (VZLU);Government;Technology Development;;LEO;3.0;;2017;;Czech Aerospace Research Center (VZLU) and partners;Czech Republic;PSLV;Primary objective of the project VZLUSAT-1 is the development, manufacturing, qualification and experimental verification of products and technologies on Earth orbit. ;EU;EU;India;increase_mission_performance_and_technology
2625;Weina-1A;China;Shanghai Micro Satellite Engineering Center;Government;Technology Development;;LEO;1.0;;2018;;Shanghai Micro Satellite Engineering Center;China;Long March 2C;Unknown purpose.;China;China;China;increase_mission_performance_and_technology
2626;Weina-1B;China;Shanghai Micro Satellite Engineering Center;Government;Technology Development;;LEO;5.0;;2018;;Shanghai Micro Satellite Engineering Center;China;Long March 4C;Unknown purpose.;China;China;China;increase_mission_performance_and_technology
2627;USA 195;USA;Military Satellite Communications - US Air Force;Military;Communications;;GEO;5900.0;3450;2007;14.0;Boeing Integrated Defense Systems;USA;Atlas 5;"First of five; will provide services to the US Department of Defense and the Ministry of Defense for Canada as well as other Government and Allied users under unstressed conditions.";USA;USA;USA;communication_and_positionning
2628;USA 291;USA;Military Satellite Communications - US Air Force;Military;Communications;;GEO;5990.0;3450;2019;14.0;Boeing Satellite Systems;USA;Delta 4;;USA;USA;USA;communication_and_positionning
2629;USA 204;USA;Military Satellite Communications - US Air Force;Military;Communications;;GEO;5987.0;3450;2009;14.0;Boeing Satellite Systems;USA;Atlas 5;X and Ka-band transponders. Will replace DSCS system.;USA;USA;USA;communication_and_positionning
2630;USA 211;USA;Military Satellite Communications - US Air Force;Military;Communications;Optical Imaging;GEO;5990.0;3450;2009;14.0;Boeing Satellite Systems;USA;Delta 4;X and Ka-band transponders. Will replace DSCS system.;USA;USA;USA;communication_and_positionning
2631;USA 233;USA;Military Satellite Communications - US Air Force;Military;Communications;Optical Imaging;GEO;5990.0;3450;2012;14.0;Boeing Satellite Systems;USA;Delta 4;X and Ka-band transponders. Will replace DSCS system.;USA;USA;USA;communication_and_positionning
2632;USA 243;USA;Military Satellite Communications - US Air Force;Military;Communications;Optical Imaging;GEO;5990.0;3450;2013;14.0;Boeing Satellite Systems;USA;Delta 4;"Surveillance and reconnaissance imagery at approximately three times the data rate available through the Block I satellites; the Australian Defence Force will have global access to the WGS on-orbit constellation.";USA;USA;USA;communication_and_positionning
2633;USA 244;USA;Military Satellite Communications - US Air Force;Military;Communications;Optical Imaging;GEO;5990.0;3450;2013;14.0;Boeing Satellite Systems;USA;Delta 4;Australia supported the cost of the sixth spacecraft under a partnership agreement with U.S.;USA;USA;USA;communication_and_positionning
2634;USA 263;USA;Military Satellite Communications - US Air Force;Military;Communications;Optical Imaging/Infrared Imaging;GEO;5990.0;3450;2015;14.0;Boeing Satellite Systems;USA;Delta 4;;USA;USA;USA;communication_and_positionning
2635;USA 272;USA;Military Satellite Communications - US Air Force;Military;Communications;;GEO;5990.0;3450;2016;14.0;Boeing Satellite Systems;USA;Delta 4;International funding from Canada, Denmark, the Netherlands, Luxembourg and New Zealand under partnershp for access to constellation network.;USA;USA;USA;communication_and_positionning
2636;USA 275;USA;Military Satellite Communications - US Air Force;Military;Communications;;GEO;5990.0;3450;2017;14.0;Boeing Satellite Systems;USA;Delta 4;;USA;USA;USA;communication_and_positionning
2637;WildBlue 1;USA;WildBlue Communications;Commercial;Communications;;GEO;4735.0;1995;2006;12.0;Space Systems/Loral;USA;Ariane 5;"Totally dedicated to broadband internet services; total CONUS coverage.";USA;USA;EU;communication_and_positionning
2638;WNISat-1;Japan;Weathernews, Inc.;Commercial;Earth Observation;;LEO;10.0;;2013;2.0;Axelspace;Japan;Dnepr;Provide data to shipping lines who are interested in the Arctic Sea ice state.;Japan;Japan;ROW;earth_observation_and_surveillance
2639;WNISat-1R;Japan;Weathernews, Inc.;Commercial;Earth Observation;;LEO;43.0;;2017;;Axelspace;Japan;Soyuz 2.1a;Collecting monitoring data for shipping lane customers operating in the Arctic Sea.;Japan;Japan;Russia;earth_observation_and_surveillance
2640;Worldview 1;USA;Maxar Technologies Inc.;Commercial;Earth Observation;;LEO;4500.0;;2007;7.25;Ball Aerospace;USA;Delta 2;Provides earth imaging in eight color bands.;USA;USA;USA;earth_observation_and_surveillance
2641;Worldview 2;USA;Maxar Technologies Inc.;Commercial;Earth Observation;;LEO;2800.0;;2009;;Ball Aerospace;USA;Delta 2;"Will provide earth imaging  in eight color bands; 0.5 m resolution for panchromatic images and 1.8 m for multi-spectral.";USA;USA;USA;earth_observation_and_surveillance
2642;Worldview 3;USA;Maxar Technologies Inc.;Commercial;Earth Observation;;LEO;2800.0;;2014;12.0;Ball Aerospace;USA;Atlas 5;WorldView-3 provides 31 cm panchromatic resolution, 1.24 m MS (Multispectral) resolution, 3.7 m SWIR (Short-Wave Infrared) resolution, and 30 m CAVIS ( Clouds, Aerosols, Vapors, Ice, and Snow) resolution.;USA;USA;USA;earth_observation_and_surveillance
2643;USA 299;USA;US Space Force;Military;Technology Development;;LEO;4990.0;;2020;;Boeing Corp.;USA;Atlas 5;Sixth flight of OSB.;USA;USA;USA;increase_mission_performance_and_technology
2644;Xiaoxiang 1-04;China;Spacety Aerospace Co.;Commercial;Technology Development;;LEO;8.0;;2019;;Spacety Aerospace Co.;China;Long March 11;Earth imaging technology development.;China;China;China;increase_mission_performance_and_technology
2645;Xiaoxiang 1-07 ;China;Spacety Aerospace Co.;Commercial;Technology Development;Optical Imaging;LEO;10.0;;2019;;Spacety Aerospace Co.;China;Kuaizhou 1A;;China;China;China;increase_mission_performance_and_technology
2646;Xingshidai 5;China;Chengdu Guoxing Aerospace Technology Co. Ltd.;Commercial;Earth Observation;Optical Imaging;LEO;10.0;;2019;;MinoSpace Technology;China;Jielong 1;;China;China;China;earth_observation_and_surveillance
2647;Xingyun 2-01;China;Xingyun Satellite Co.;Government;Communications;;LEO;93.0;;2020;;Unknown;China;Kuaizhou 1A;First of a planned 80-satellite constellation for Internet-of-Things communications and data relay.;China;China;China;communication_and_positionning
2648;Xingyun 2-02;China;Xingyun Satellite Co.;Government;Communications;;LEO;93.0;;2020;;Unknown;China;Kuaizhou 1A;;China;China;China;communication_and_positionning
2649;Xinyan 1;China;DFH Satellite Co. Ltd.;Government;Technology Development;;LEO;;;2012;;China Academy of Space Technology (CAST);China;Long March 2C;;China;China;China;increase_mission_performance_and_technology
2650;XJS-A;China;Unknown;Government;Technology Development;;LEO;;;2018;;China Academy of Space Technology (CAST);China;Long March 2C;Unknown operator. Will conduct tests of inter-satellite networking links and Earth observation technology.;China;China;China;increase_mission_performance_and_technology
2651;XJS-B;China;Unknown;Government;Technology Development;;LEO;;;2018;;China Academy of Space Technology (CAST);China;Long March 2C;Unknown operator. Will conduct tests of inter-satellite networking links and Earth observation technology.;China;China;China;increase_mission_performance_and_technology
2652;XJS-C;China;Unknown;Government;Technology Development;;LEO;;;2020;;Shanghai Academy of Spaceflight Technology;China;Long March 2D;;China;China;China;increase_mission_performance_and_technology
2653;XJS-D;China;Unknown;Government;Technology Development;;LEO;;;2020;;Shanghai Academy of Spaceflight Technology;China;Long March 2D;;China;China;China;increase_mission_performance_and_technology
2654;XJS-E;China;Unknown;Government;Technology Development;;LEO;;;2020;;Harbin Institute of Technology/DFH Satellite Co. Ltd.;China;Long March 2D;;China;China;China;increase_mission_performance_and_technology
2655;XJS-F;China;Unknown;Government;Technology Development;;LEO;;;2020;;Harbin Institute of Technology/DFH Satellite Co. Ltd.;China;Long March 2D;;China;China;China;increase_mission_performance_and_technology
2656;XJS-G;China;Unknown;Government;Technology Development;;LEO;;;2020;; China Academy of Sciences (CAS)/National Space Science Center;China;Long March 11;;China;China;China;increase_mission_performance_and_technology
2657;XJS-H;China;Unknown;Government;Technology Development;;LEO;;;2020;;National University of Defence Technology (NUDT);China;Long March 11;;China;China;China;increase_mission_performance_and_technology
